iter	Passed	Remaining
0	2	2363
1	4	2122
2	5	1933
3	9	2293
4	11	2298
5	13	2160
6	14	2017
7	15	1916
8	17	1876
9	19	1915
10	23	2150
11	25	2096
12	27	2053
13	28	1974
14	28	1897
15	30	1845
16	30	1791
17	31	1739
18	32	1694
19	33	1655
20	34	1615
21	35	1582
22	39	1693
23	41	1667
24	41	1634
25	42	1602
26	43	1573
27	44	1546
28	45	1521
29	48	1582
30	50	1572
31	56	1706
32	57	1699
33	59	1682
34	60	1671
35	63	1704
36	65	1697
37	66	1681
38	72	1792
39	75	1811
40	76	1792
41	78	1781
42	79	1767
43	80	1749
44	81	1728
45	82	1709
46	86	1750
47	87	1738
48	89	1727
49	89	1709
50	90	1691
51	91	1676
52	92	1659
53	93	1643
54	94	1628
55	95	1612
56	96	1596
57	97	1581
58	100	1608
59	102	1600
60	103	1589
61	104	1579
62	107	1597
63	109	1597
64	110	1591
65	112	1589
66	116	1625
67	118	1622
68	120	1622
69	121	1617
70	123	1619
71	125	1613
72	127	1613
73	128	1605
74	131	1625
75	133	1624
76	134	1615
77	135	1605
78	137	1604
79	138	1593
80	139	1581
81	140	1569
82	140	1553
83	141	1542
84	142	1532
85	149	1585
86	150	1580
87	152	1583
88	154	1579
89	155	1572
90	157	1573
91	158	1564
92	160	1568
93	163	1571
94	167	1591
95	169	1591
96	170	1587
97	171	1581
98	173	1575
99	174	1570
100	177	1576
101	178	1573
102	179	1565
103	180	1558
104	184	1572
105	186	1573
106	188	1570
107	189	1562
108	192	1577
109	194	1573
110	195	1566
111	196	1558
112	198	1558
113	201	1563
114	204	1569
115	207	1584
116	209	1578
117	210	1571
118	212	1571
119	213	1564
120	214	1556
121	215	1547
122	215	1539
123	216	1531
124	217	1524
125	222	1544
126	223	1536
127	224	1529
128	225	1525
129	228	1528
130	229	1524
131	231	1519
132	232	1513
133	233	1506
134	234	1500
135	238	1514
136	242	1526
137	243	1520
138	244	1513
139	245	1507
140	246	1501
141	247	1492
142	248	1488
143	249	1481
144	250	1475
145	252	1477
146	253	1472
147	254	1466
148	255	1459
149	256	1453
150	257	1448
151	258	1441
152	259	1436
153	270	1485
154	275	1500
155	276	1498
156	278	1494
157	279	1490
158	280	1485
159	283	1490
160	285	1486
161	287	1486
162	288	1483
163	290	1479
164	291	1473
165	292	1469
166	293	1463
167	294	1457
168	295	1451
169	296	1445
170	308	1493
171	310	1493
172	312	1494
173	316	1502
174	318	1500
175	320	1498
176	321	1495
177	323	1492
178	324	1487
179	325	1481
180	326	1475
181	328	1478
182	330	1475
183	335	1485
184	336	1481
185	338	1481
186	339	1477
187	340	1471
188	343	1472
189	344	1469
190	346	1466
191	347	1461
192	348	1457
193	351	1462
194	353	1459
195	354	1455
196	358	1460
197	362	1467
198	363	1463
199	365	1461
200	367	1461
201	369	1460
202	371	1458
203	373	1457
204	375	1457
205	377	1453
206	378	1451
207	379	1446
208	381	1442
209	381	1436
210	382	1431
211	383	1426
212	384	1422
213	387	1423
214	388	1420
215	390	1417
216	391	1413
217	392	1407
218	393	1403
219	394	1398
220	395	1395
221	400	1402
222	403	1406
223	405	1403
224	406	1399
225	407	1395
226	410	1399
227	412	1395
228	413	1391
229	414	1386
230	415	1383
231	417	1383
232	419	1380
233	421	1379
234	423	1377
235	424	1372
236	424	1368
237	425	1363
238	427	1360
239	428	1357
240	430	1354
241	433	1358
242	436	1359
243	437	1356
244	439	1355
245	440	1351
246	441	1346
247	444	1347
248	447	1348
249	449	1347
250	450	1344
251	451	1341
252	453	1338
253	454	1333
254	455	1330
255	465	1352
256	467	1350
257	468	1348
258	469	1344
259	471	1341
260	472	1336
261	474	1337
262	477	1338
263	479	1337
264	481	1334
265	482	1331
266	483	1328
267	484	1323
268	485	1319
269	486	1314
270	487	1310
271	489	1311
272	492	1310
273	494	1309
274	496	1309
275	498	1306
276	499	1302
277	501	1301
278	502	1299
279	506	1302
280	508	1301
281	510	1298
282	511	1296
283	512	1293
284	514	1291
285	515	1287
286	516	1283
287	518	1280
288	520	1281
289	522	1279
290	524	1278
291	526	1277
292	528	1274
293	528	1270
294	530	1266
295	531	1263
296	537	1271
297	539	1270
298	540	1266
299	542	1266
300	543	1262
301	544	1258
302	545	1254
303	546	1251
304	547	1247
305	550	1249
306	556	1255
307	557	1251
308	558	1248
309	559	1244
310	560	1241
311	561	1237
312	562	1234
313	564	1232
314	573	1246
315	575	1245
316	576	1241
317	577	1237
318	578	1234
319	582	1237
320	584	1235
321	585	1232
322	587	1231
323	590	1231
324	591	1228
325	592	1224
326	593	1221
327	598	1226
328	599	1223
329	602	1223
330	604	1222
331	606	1220
332	608	1218
333	609	1215
334	612	1214
335	614	1213
336	616	1213
337	619	1212
338	620	1209
339	621	1206
340	623	1205
341	625	1202
342	627	1201
343	628	1199
344	630	1196
345	631	1193
346	632	1190
347	633	1186
348	634	1183
349	635	1180
350	636	1176
351	637	1173
352	638	1170
353	639	1166
354	643	1168
355	645	1167
356	648	1167
357	649	1164
358	650	1160
359	651	1157
360	652	1155
361	653	1152
362	664	1165
363	666	1164
364	670	1166
365	673	1166
366	675	1164
367	676	1162
368	679	1161
369	682	1161
370	683	1159
371	685	1156
372	687	1154
373	688	1152
374	690	1150
375	691	1146
376	696	1150
377	697	1148
378	700	1147
379	704	1149
380	705	1146
381	707	1144
382	708	1142
383	710	1139
384	714	1141
385	717	1142
386	720	1141
387	721	1138
388	723	1135
389	724	1133
390	726	1131
391	727	1128
392	728	1125
393	729	1121
394	731	1120
395	735	1121
396	736	1119
397	738	1116
398	745	1122
399	747	1120
400	750	1121
401	752	1119
402	755	1118
403	756	1116
404	757	1113
405	758	1110
406	759	1106
407	762	1106
408	765	1106
409	767	1104
410	770	1103
411	771	1100
412	772	1097
413	774	1096
414	775	1092
415	776	1089
416	781	1093
417	784	1092
418	787	1092
419	788	1088
420	789	1085
421	790	1082
422	793	1081
423	795	1080
424	798	1080
425	800	1078
426	802	1076
427	803	1073
428	804	1071
429	805	1067
430	806	1064
431	808	1062
432	810	1061
433	812	1059
434	814	1057
435	815	1055
436	817	1052
437	817	1049
438	818	1046
439	819	1043
440	820	1039
441	822	1037
442	824	1036
443	827	1036
444	829	1035
445	831	1032
446	832	1029
447	833	1026
448	834	1023
449	835	1020
450	836	1018
451	838	1017
452	841	1016
453	843	1014
454	845	1012
455	846	1009
456	846	1006
457	848	1004
458	849	1001
459	850	998
460	852	996
461	855	995
462	857	994
463	859	992
464	860	990
465	862	987
466	863	985
467	864	982
468	865	979
469	867	978
470	869	976
471	872	975
472	873	973
473	875	971
474	876	968
475	877	965
476	878	963
477	879	960
478	880	958
479	883	956
480	884	954
481	886	952
482	888	951
483	890	949
484	891	946
485	892	944
486	893	941
487	896	941
488	898	939
489	901	938
490	902	935
491	903	933
492	904	930
493	905	927
494	907	926
495	909	924
496	911	922
497	913	920
498	914	917
499	915	915
500	916	912
501	919	912
502	922	911
503	924	909
504	925	907
505	926	905
506	928	903
507	930	900
508	933	900
509	935	899
510	938	898
511	940	896
512	941	894
513	943	892
514	946	891
515	948	889
516	950	887
517	953	887
518	955	885
519	958	884
520	962	885
521	964	883
522	965	880
523	979	890
524	981	888
525	983	886
526	985	884
527	986	882
528	988	880
529	990	878
530	992	876
531	993	873
532	994	871
533	996	869
534	1001	870
535	1003	868
536	1004	866
537	1005	863
538	1006	861
539	1008	859
540	1009	856
541	1011	854
542	1018	857
543	1019	854
544	1020	852
545	1021	849
546	1022	847
547	1024	844
548	1024	841
549	1025	839
550	1026	836
551	1028	834
552	1029	832
553	1035	833
554	1036	831
555	1037	828
556	1038	825
557	1039	823
558	1040	820
559	1041	818
560	1044	817
561	1046	815
562	1047	813
563	1048	810
564	1050	808
565	1052	806
566	1053	804
567	1054	802
568	1055	799
569	1056	797
570	1058	794
571	1059	792
572	1061	790
573	1062	788
574	1064	786
575	1065	784
576	1067	782
577	1069	780
578	1071	779
579	1072	776
580	1119	807
581	1121	805
582	1122	803
583	1136	809
584	1138	807
585	1140	805
586	1150	809
587	1152	807
588	1153	805
589	1155	803
590	1160	802
591	1167	804
592	1169	802
593	1171	800
594	1182	804
595	1184	802
596	1185	800
597	1197	805
598	1199	802
599	1200	800
600	1212	805
601	1214	802
602	1215	800
603	1219	799
604	1223	798
605	1226	797
606	1228	795
607	1230	793
608	1231	790
609	1247	797
610	1249	795
611	1251	793
612	1253	791
613	1255	789
614	1259	788
615	1261	786
616	1262	783
617	1264	781
618	1266	779
619	1274	781
620	1276	778
621	1277	776
622	1279	774
623	1282	772
624	1284	770
625	1286	768
626	1307	777
627	1309	775
628	1310	772
629	1318	774
630	1319	771
631	1320	768
632	1321	766
633	1323	763
634	1324	761
635	1325	758
636	1326	755
637	1335	757
638	1338	756
639	1340	753
640	1342	751
641	1348	751
642	1351	750
643	1356	749
644	1357	747
645	1359	745
646	1362	743
647	1365	741
648	1371	741
649	1372	739
650	1373	736
651	1374	733
652	1377	731
653	1379	729
654	1381	727
655	1385	726
656	1386	724
657	1388	721
658	1389	718
659	1390	716
660	1394	715
661	1398	714
662	1401	712
663	1402	709
664	1403	707
665	1404	704
666	1405	701
667	1409	700
668	1410	698
669	1414	696
670	1416	694
671	1417	691
672	1418	689
673	1419	686
674	1423	685
675	1425	683
676	1427	681
677	1428	678
678	1430	676
679	1431	673
680	1432	670
681	1434	668
682	1435	666
683	1437	664
684	1439	662
685	1441	659
686	1442	657
687	1444	655
688	1445	652
689	1446	649
690	1447	647
691	1448	644
692	1448	641
693	1449	639
694	1452	637
695	1454	635
696	1456	632
697	1458	630
698	1459	628
699	1460	626
700	1462	623
701	1462	620
702	1463	618
703	1464	615
704	1465	613
705	1467	611
706	1469	609
707	1472	607
708	1473	604
709	1474	602
710	1475	599
711	1477	597
712	1478	595
713	1479	592
714	1479	589
715	1481	587
716	1484	585
717	1486	583
718	1488	581
719	1489	579
720	1491	576
721	1492	574
722	1493	572
723	1494	569
724	1494	567
725	1497	565
726	1500	563
727	1502	561
728	1503	559
729	1505	556
730	1506	554
731	1507	551
732	1508	549
733	1509	547
734	1510	544
735	1512	542
736	1515	540
737	1517	538
738	1518	536
739	1520	534
740	1521	531
741	1522	529
742	1523	527
743	1524	524
744	1525	522
745	1528	520
746	1531	518
747	1532	516
748	1534	514
749	1535	511
750	1536	509
751	1537	507
752	1538	504
753	1539	502
754	1540	499
755	1543	498
756	1545	496
757	1547	494
758	1549	492
759	1550	489
760	1551	487
761	1552	485
762	1553	482
763	1554	480
764	1560	479
765	1561	477
766	1563	474
767	1564	472
768	1565	470
769	1566	467
770	1567	465
771	1568	463
772	1569	460
773	1570	458
774	1571	456
775	1574	454
776	1576	452
777	1577	450
778	1579	447
779	1580	445
780	1581	443
781	1582	441
782	1583	438
783	1584	436
784	1584	434
785	1585	431
786	1587	429
787	1589	427
788	1591	425
789	1592	423
790	1594	421
791	1595	419
792	1596	416
793	1597	414
